LANE_ID,LOAD_ORI,IB_LOAD_TYPE,DISPATCH_SEQ,CUBE,SHIPMENTS,PU DATE
MCI-JAC,MCI,O,1,142.59,2,8/27/2025 0:00
MCI-JAC,MCI,O,1,93.24,3,8/25/2025 0:00
MCI-JAC,MCI,O,1,155.22,3,8/29/2025 0:00
MCI-JAC,MCI,O,1,721.81,1,8/26/2025 0:00
MCI-JAC,MCI,O,1,309,4,8/22/2025 0:00
MCI-JAC,MCI,O,1,116.63,1,8/20/2025 0:00
MCI-JAC,MCI,O,1,16.8,1,8/28/2025 0:00
MCI-JAC,MCI,O,2,721.81,1,8/26/2025 0:00
MCI-JAC,MCI,O,2,309,4,8/22/2025 0:00
MCI-JAC,MCI,O,2,142.59,2,8/27/2025 0:00
MCI-JAC,MCI,O,2,152.1,3,8/21/2025 0:00
KRN-JAC,MCI,B,3,137.74,1,8/26/2025 0:00
KRN-JAC,MCI,B,4,137.74,1,8/26/2025 0:00
MCI-JAC,MCI,O,2,93.24,3,8/25/2025 0:00
MCI-JAC,MCI,O,2,155.22,3,8/29/2025 0:00
MCI-JAC,MCI,O,2,116.63,1,8/20/2025 0:00
MCI-JAC,MCI,O,2,16.8,1,8/28/2025 0:00
EVR-JAC,MCI,B,4,410.23,1,8/27/2025 0:00
EVR-JAC,MCI,B,5,410.23,1,8/27/2025 0:00
OMA-TAM,MCI,B,3,5.14,1,8/29/2025 0:00
OMA-TAM,MCI,B,3,135.34,1,8/25/2025 0:00
OMA-TAM,MCI,B,3,74.11,2,8/21/2025 0:00
BOI-TAM,MCI,B,3,86.31,1,8/25/2025 0:00
FSD-TAM,MCI,B,4,176.84,1,8/25/2025 0:00
FSD-TAM,MCI,B,4,27.38,1,8/21/2025 0:00
TWF-TAM,MCI,B,8,398.22,1,8/28/2025 0:00
TWF-TAM,MCI,B,8,111.45,2,8/27/2025 0:00
SLC-TAM,MCI,B,6,16.52,1,8/28/2025 0:00
SLC-TAM,MCI,B,6,173.58,4,8/29/2025 0:00
SLC-TAM,MCI,B,6,427.54,4,8/25/2025 0:00
SLC-TAM,MCI,B,6,164.15,1,8/26/2025 0:00
TWF-TAM,MCI,B,7,111.45,2,8/27/2025 0:00
TWF-TAM,MCI,B,7,398.22,1,8/28/2025 0:00
SLC-TAM,MCI,B,6,20.22,1,8/22/2025 0:00
SLC-TAM,MCI,B,5,16.52,1,8/28/2025 0:00
SLC-TAM,MCI,B,5,173.58,4,8/29/2025 0:00
SLC-TAM,MCI,B,5,427.54,4,8/25/2025 0:00
SLC-TAM,MCI,B,5,164.15,1,8/26/2025 0:00
SLC-TAM,MCI,B,5,20.22,1,8/22/2025 0:00
PCA-TAM,MCI,B,7,106.72,1,8/28/2025 0:00
PCA-TAM,MCI,B,6,106.72,1,8/28/2025 0:00
MCI-TAM,MCI,O,2,510.73,6,8/26/2025 0:00
MCI-TAM,MCI,O,2,127.1,3,8/25/2025 0:00
MCI-TAM,MCI,O,2,314.01,5,8/29/2025 0:00
MCI-TAM,MCI,O,2,42.4,2,8/22/2025 0:00
MCI-TAM,MCI,O,2,963.15,7,8/28/2025 0:00
MCI-TAM,MCI,O,2,509.31,8,8/21/2025 0:00
MCI-TAM,MCI,O,2,417.21,6,8/20/2025 0:00
MCI-TAM,MCI,O,2,215.86,4,8/27/2025 0:00
MCI-TAM,MCI,O,1,510.73,6,8/26/2025 0:00
MCI-TAM,MCI,O,1,127.1,3,8/25/2025 0:00
MCI-TAM,MCI,O,1,314.01,5,8/29/2025 0:00
MCI-TAM,MCI,O,1,42.4,2,8/22/2025 0:00
MCI-TAM,MCI,O,1,963.15,7,8/28/2025 0:00
MCI-TAM,MCI,O,1,509.31,8,8/21/2025 0:00
GEG-TAM,MCI,B,10,16.11,1,8/29/2025 0:00
GEG-TAM,MCI,B,10,424.77,1,8/26/2025 0:00
SEA-TAM,MCI,B,5,527.08,3,8/27/2025 0:00
SEA-TAM,MCI,B,6,527.08,3,8/27/2025 0:00
MCI-TAM,MCI,O,1,417.21,6,8/20/2025 0:00
MCI-TAM,MCI,O,1,215.86,4,8/27/2025 0:00
PDX-TAM,MCI,B,5,33.44,2,8/20/2025 0:00
PDX-TAM,MCI,B,5,17.91,1,8/29/2025 0:00
PDX-TAM,MCI,B,6,17.91,1,8/29/2025 0:00
PDX-TAM,MCI,B,6,33.44,2,8/20/2025 0:00
GEG-TAM,MCI,B,9,424.77,1,8/26/2025 0:00
GEG-TAM,MCI,B,9,16.11,1,8/29/2025 0:00
EVR-TAM,MCI,B,5,14.59,1,8/28/2025 0:00
EVR-TAM,MCI,B,5,148.28,1,8/22/2025 0:00
EVR-TAM,MCI,B,4,148.28,1,8/22/2025 0:00
EVR-TAM,MCI,B,4,20.93,1,8/29/2025 0:00
EVR-TAM,MCI,B,4,14.59,1,8/28/2025 0:00
EVR-TAM,MCI,B,5,20.93,1,8/29/2025 0:00
FSD-TAM,MCI,B,3,176.84,1,8/25/2025 0:00
OMA-TAM,MCI,B,2,135.34,1,8/25/2025 0:00
OMA-TAM,MCI,B,2,74.11,2,8/21/2025 0:00
OMA-TAM,MCI,B,2,152.22,1,8/27/2025 0:00
FSD-TAM,MCI,B,3,27.38,1,8/21/2025 0:00
FSD-TAM,MCI,B,3,156.38,2,8/27/2025 0:00
FSD-TAM,MCI,B,3,14.43,1,8/28/2025 0:00
BOI-TAM,MCI,B,2,86.31,1,8/25/2025 0:00
OMA-TAM,MCI,B,2,5.14,1,8/29/2025 0:00
OMA-TAM,MCI,B,3,152.22,1,8/27/2025 0:00
FSD-TAM,MCI,B,4,156.38,2,8/27/2025 0:00
FSD-TAM,MCI,B,4,14.43,1,8/28/2025 0:00
VGS-CIN,MCI,B,6,48.64,1,8/28/2025 0:00
VGS-CIN,MCI,B,6,60.92,1,8/25/2025 0:00
VGS-CIN,MCI,B,6,25.55,1,8/20/2025 0:00
VGS-CIN,MCI,B,7,25.55,1,8/20/2025 0:00
VGS-CIN,MCI,B,7,48.64,1,8/28/2025 0:00
VGS-CIN,MCI,B,7,60.92,1,8/25/2025 0:00
LOS-CIN,MCI,B,8,17.11,1,8/22/2025 0:00
DOW-CIN,MCI,B,8,17.12,1,8/27/2025 0:00
ONT-CIN,MCI,B,8,152.28,2,8/20/2025 0:00
ONT-CIN,MCI,B,8,468.35,2,8/21/2025 0:00
CPR-CIN,MCI,B,4,125.53,1,8/27/2025 0:00
ONT-CIN,MCI,B,8,12.54,1,8/28/2025 0:00
ONT-CIN,MCI,B,8,69.68,1,8/22/2025 0:00
ONT-CIN,MCI,B,8,79.79,1,8/29/2025 0:00
ONT-CIN,MCI,B,8,149.51,2,8/27/2025 0:00
CHV-CIN,MCI,B,3,28.27,1,8/22/2025 0:00
ONT-CIN,MCI,B,7,152.28,2,8/20/2025 0:00
ONT-CIN,MCI,B,7,468.35,2,8/21/2025 0:00
ONT-CIN,MCI,B,7,12.54,1,8/28/2025 0:00
SLN-CIN,MCI,B,3,63.69,1,8/28/2025 0:00
CPR-CIN,MCI,B,5,125.53,1,8/27/2025 0:00
SLN-CIN,MCI,B,2,63.69,1,8/28/2025 0:00
ONT-CIN,MCI,B,7,69.68,1,8/22/2025 0:00
ONT-CIN,MCI,B,7,79.79,1,8/29/2025 0:00
LOS-CIN,MCI,B,7,17.11,1,8/22/2025 0:00
CHV-CIN,MCI,B,2,28.27,1,8/22/2025 0:00
DOW-CIN,MCI,B,7,17.12,1,8/27/2025 0:00
ONT-CIN,MCI,B,7,149.51,2,8/27/2025 0:00
TUL-CIN,MCI,B,2,801.14,2,8/29/2025 0:00
TUL-CIN,MCI,B,2,108.04,1,8/28/2025 0:00
TUL-CIN,MCI,B,3,148.02,3,8/25/2025 0:00
TUL-CIN,MCI,B,3,85.08,1,8/26/2025 0:00
TUL-CIN,MCI,B,3,801.14,2,8/29/2025 0:00
TUL-CIN,MCI,B,3,108.04,1,8/28/2025 0:00
TUL-CIN,MCI,B,2,148.02,3,8/25/2025 0:00
TUL-CIN,MCI,B,2,85.08,1,8/26/2025 0:00
TUL-CIN,MCI,B,3,139.45,4,8/27/2025 0:00
TUL-CIN,MCI,B,3,40.03,1,8/20/2025 0:00
TUL-CIN,MCI,B,3,149.55,2,8/22/2025 0:00
TUL-CIN,MCI,B,3,193.99,3,8/21/2025 0:00
SHY-CIN,MCI,B,5,8.69,1,8/28/2025 0:00
SHY-CIN,MCI,B,6,8.69,1,8/28/2025 0:00
TUL-CIN,MCI,B,2,139.45,4,8/27/2025 0:00
TUL-CIN,MCI,B,2,40.03,1,8/20/2025 0:00
TUL-CIN,MCI,B,2,149.55,2,8/22/2025 0:00
TUL-CIN,MCI,B,2,193.99,3,8/21/2025 0:00
DEN-CIN,MCI,B,3,44.92,1,8/28/2025 0:00
DEN-CIN,MCI,B,3,25.19,1,8/26/2025 0:00
DEN-CIN,MCI,B,3,72.14,1,8/20/2025 0:00
DEN-CIN,MCI,B,4,25.19,1,8/26/2025 0:00
DEN-CIN,MCI,B,4,72.14,1,8/20/2025 0:00
DEN-CIN,MCI,B,4,44.92,1,8/28/2025 0:00
MCI-CIN,MCI,O,2,104.38,1,8/25/2025 0:00
MCI-CIN,MCI,O,1,20.01,1,8/21/2025 0:00
SLC-CIN,MCI,B,6,91.41,2,8/22/2025 0:00
SLC-CIN,MCI,B,6,33.49,1,8/27/2025 0:00
SLC-CIN,MCI,B,5,33.49,1,8/27/2025 0:00
SLC-CIN,MCI,B,5,91.41,2,8/22/2025 0:00
MCI-CIN,MCI,O,1,68.27,1,8/22/2025 0:00
MCI-CIN,MCI,O,1,89.42,1,8/26/2025 0:00
MCI-CIN,MCI,O,1,104.38,1,8/25/2025 0:00
MCI-CIN,MCI,O,1,38.41,1,8/27/2025 0:00
MCI-CIN,MCI,O,2,68.27,1,8/22/2025 0:00
MCI-CIN,MCI,O,2,89.42,1,8/26/2025 0:00
MCI-CIN,MCI,O,2,481.37,3,8/28/2025 0:00
MCI-CIN,MCI,O,2,491.82,3,8/20/2025 0:00
MCI-CIN,MCI,O,2,38.41,1,8/27/2025 0:00
MCI-CIN,MCI,O,2,20.01,1,8/21/2025 0:00
MCI-CIN,MCI,O,1,481.37,3,8/28/2025 0:00
MCI-CIN,MCI,O,1,491.82,3,8/20/2025 0:00
RNO-CIN,MCI,B,7,611.73,1,8/26/2025 0:00
RNO-CIN,MCI,B,8,611.73,1,8/26/2025 0:00
WCH-CIN,MCI,B,3,56.06,1,8/22/2025 0:00
WCH-CIN,MCI,B,2,56.06,1,8/22/2025 0:00
MCI-CIN,MCI,O,1,293.46,1,8/29/2025 0:00
MCI-CIN,MCI,O,2,293.46,1,8/29/2025 0:00
OMA-ORL,MCI,B,3,76.38,1,8/20/2025 0:00
BOI-ORL,MCI,B,3,276.3,2,8/21/2025 0:00
OMA-ORL,MCI,B,3,46.24,1,8/27/2025 0:00
OMA-ORL,MCI,B,3,165.64,3,8/28/2025 0:00
OMA-ORL,MCI,B,3,64.57,1,8/22/2025 0:00
OMA-ORL,MCI,B,3,56,2,8/26/2025 0:00
OMA-ORL,MCI,B,3,51.12,2,8/21/2025 0:00
OMA-ORL,MCI,B,3,5.88,1,8/25/2025 0:00
FSD-ORL,MCI,B,4,144.95,2,8/26/2025 0:00
FSD-ORL,MCI,B,4,98.08,2,8/22/2025 0:00
FSD-ORL,MCI,B,4,129.28,2,8/22/2025 0:00
FSD-ORL,MCI,B,4,334.1,1,8/25/2025 0:00
OMA-ORL,MCI,B,2,46.24,1,8/27/2025 0:00
OMA-ORL,MCI,B,2,76.38,1,8/20/2025 0:00
OMA-ORL,MCI,B,2,165.64,3,8/28/2025 0:00
FSD-ORL,MCI,B,4,35.3,1,8/27/2025 0:00
FSD-ORL,MCI,B,4,19.42,1,8/28/2025 0:00
FSD-ORL,MCI,B,4,45.72,1,8/21/2025 0:00
OMA-ORL,MCI,B,2,64.57,1,8/22/2025 0:00
OMA-ORL,MCI,B,2,56,2,8/26/2025 0:00
OMA-ORL,MCI,B,2,51.12,2,8/21/2025 0:00
OMA-ORL,MCI,B,2,5.88,1,8/25/2025 0:00
BOI-ORL,MCI,B,2,276.3,2,8/21/2025 0:00
FSD-ORL,MCI,B,3,45.72,1,8/21/2025 0:00
FSD-ORL,MCI,B,3,144.95,2,8/26/2025 0:00
FSD-ORL,MCI,B,3,98.08,2,8/22/2025 0:00
FSD-ORL,MCI,B,3,129.28,2,8/22/2025 0:00
FSD-ORL,MCI,B,3,334.1,1,8/25/2025 0:00
FSD-ORL,MCI,B,3,35.3,1,8/27/2025 0:00
FSD-ORL,MCI,B,3,19.42,1,8/28/2025 0:00
ATY-ORL,MCI,B,5,137.1,1,8/22/2025 0:00
ATY-ORL,MCI,B,4,137.1,1,8/22/2025 0:00
HLN-ORL,MCI,B,8,181.98,1,8/27/2025 0:00
HLN-ORL,MCI,B,8,28.92,1,8/28/2025 0:00
HLN-ORL,MCI,B,9,181.98,1,8/27/2025 0:00
HLN-ORL,MCI,B,9,28.92,1,8/28/2025 0:00
BIL-ORL,MCI,B,7,27.05,1,8/21/2025 0:00
BIL-ORL,MCI,B,8,27.05,1,8/21/2025 0:00
GEG-ORL,MCI,B,9,4.36,1,8/26/2025 0:00
GEG-ORL,MCI,B,10,4.36,1,8/26/2025 0:00
PDX-ORL,MCI,B,5,85.1,2,8/28/2025 0:00
PDX-ORL,MCI,B,6,85.1,2,8/28/2025 0:00
SEA-ORL,MCI,B,5,56.55,1,8/20/2025 0:00
SEA-ORL,MCI,B,5,141.14,1,8/21/2025 0:00
SEA-ORL,MCI,B,6,56.55,1,8/20/2025 0:00
SEA-ORL,MCI,B,6,141.14,1,8/21/2025 0:00
SEA-ORL,MCI,B,6,738.36,1,8/29/2025 0:00
SEA-ORL,MCI,B,5,738.36,1,8/29/2025 0:00
SLC-ORL,MCI,B,6,26.95,1,8/29/2025 0:00
SLC-ORL,MCI,B,5,26.95,1,8/29/2025 0:00
SLC-ORL,MCI,B,5,110.09,1,8/25/2025 0:00
SLC-ORL,MCI,B,5,13.34,1,8/27/2025 0:00
SLC-ORL,MCI,B,6,110.09,1,8/25/2025 0:00
SLC-ORL,MCI,B,6,13.34,1,8/27/2025 0:00
MCI-ORL,MCI,O,1,649.39,6,8/20/2025 0:00
MCI-ORL,MCI,O,1,487.04,8,8/21/2025 0:00
MCI-ORL,MCI,O,1,634.99,9,8/25/2025 0:00
MCI-ORL,MCI,O,1,484.84,3,8/27/2025 0:00
MCI-ORL,MCI,O,1,270.05,4,8/29/2025 0:00
MCI-ORL,MCI,O,1,315.51,3,8/22/2025 0:00
MCI-ORL,MCI,O,1,98.19,2,8/28/2025 0:00
MCI-ORL,MCI,O,1,424.33,2,8/26/2025 0:00
MCI-ORL,MCI,O,2,634.99,9,8/25/2025 0:00
MCI-ORL,MCI,O,2,484.84,3,8/27/2025 0:00
MCI-ORL,MCI,O,2,270.05,4,8/29/2025 0:00
MCI-ORL,MCI,O,2,315.51,3,8/22/2025 0:00
PCA-ORL,MCI,B,7,53.37,1,8/25/2025 0:00
PCA-ORL,MCI,B,6,53.37,1,8/25/2025 0:00
MCI-ORL,MCI,O,2,98.19,2,8/28/2025 0:00
MCI-ORL,MCI,O,2,424.33,2,8/26/2025 0:00
MCI-ORL,MCI,O,2,649.39,6,8/20/2025 0:00
