LANE_ID,LOAD_DST,LOAD_DST_TYPE,DISPATCH_SEQ,CUBE,SHIPMENTS,PU_DATE
SLC-JAC,MCI,B,1,117.91,1,8/22/2025 0:00
SLC-JAC,MCI,B,2,117.91,1,8/29/2025 0:00
SLC-JAC,MCI,B,2,117.91,1,8/22/2025 0:00
SLC-JAC,MCI,B,1,58.45,2,8/21/2025 0:00
SLC-JAC,MCI,B,1,277.82,3,8/20/2025 0:00
FSD-JAC,MCI,B,1,45.72,1,8/21/2025 0:00
FSD-JAC,MCI,B,1,32.77,1,8/22/2025 0:00
FSD-JAC,MCI,B,2,45.72,1,8/21/2025 0:00
FSD-JAC,MCI,B,2,32.77,1,8/22/2025 0:00
OMA-JAC,MCI,B,1,205.49,3,8/28/2025 0:00
OMA-JAC,MCI,B,1,50.67,1,8/29/2025 0:00
OMA-JAC,MCI,B,1,93.17,3,8/21/2025 0:00
FSD-JAC,MCI,B,1,88.05,1,8/20/2025 0:00
EVR-JAC,MCI,B,3,410.23,1,8/27/2025 0:00
SEA-JAC,MCI,B,4,7.09,1,8/21/2025 0:00
PDX-JAC,MCI,B,4,72.98,1,8/27/2025 0:00
FSD-JAC,MCI,B,2,81.83,1,8/25/2025 0:00
FSD-JAC,MCI,B,1,81.83,1,8/25/2025 0:00
FSD-JAC,MCI,B,2,88.05,1,8/20/2025 0:00
KRN-JAC,MCI,B,1,137.74,1,8/26/2025 0:00
KRN-JAC,MCI,B,2,137.74,1,8/26/2025 0:00
PDX-JAC,MCI,B,4,19.47,1,8/20/2025 0:00
GEG-JAC,MCI,B,7,10.58,1,8/27/2025 0:00
GEG-JAC,MCI,B,8,10.58,1,8/27/2025 0:00
RAP-JAC,MCI,B,3,6.94,1,8/25/2025 0:00
RAP-JAC,MCI,B,4,6.94,1,8/25/2025 0:00
RAP-JAC,MCI,B,2,6.94,1,8/25/2025 0:00
RAP-JAC,MCI,B,1,6.94,1,8/25/2025 0:00
GEG-JAC,MCI,B,6,10.58,1,8/27/2025 0:00
GEG-JAC,MCI,B,5,10.58,1,8/27/2025 0:00
SLC-JAC,MCI,B,3,58.45,2,8/21/2025 0:00
SLC-JAC,MCI,B,3,277.82,3,8/20/2025 0:00
MSO-JAC,MCI,B,5,43.23,1,8/27/2025 0:00
MSO-JAC,MCI,B,7,43.23,1,8/27/2025 0:00
MSO-JAC,MCI,B,8,43.23,1,8/27/2025 0:00
MSO-JAC,MCI,B,6,43.23,1,8/27/2025 0:00
SLC-JAC,MCI,B,4,117.91,1,8/22/2025 0:00
SLC-JAC,MCI,B,4,117.91,1,8/29/2025 0:00
SLC-JAC,MCI,B,4,58.45,2,8/21/2025 0:00
SLC-JAC,MCI,B,3,117.91,1,8/29/2025 0:00
SLC-JAC,MCI,B,4,48.66,2,8/28/2025 0:00
SLC-JAC,MCI,B,3,48.66,2,8/28/2025 0:00
SLC-JAC,MCI,B,3,117.91,1,8/22/2025 0:00
SLC-JAC,MCI,B,4,277.82,3,8/20/2025 0:00
SLC-JAC,MCI,B,1,117.91,1,8/29/2025 0:00
SLC-JAC,MCI,B,2,48.66,2,8/28/2025 0:00
SLC-JAC,MCI,B,2,58.45,2,8/21/2025 0:00
SLC-JAC,MCI,B,2,277.82,3,8/20/2025 0:00
TWF-TAM,MCI,B,6,111.45,2,8/27/2025 0:00
TWF-TAM,MCI,B,6,398.22,1,8/28/2025 0:00
TWF-TAM,MCI,B,5,111.45,2,8/27/2025 0:00
TWF-TAM,MCI,B,5,398.22,1,8/28/2025 0:00
TWF-TAM,MCI,B,3,398.22,1,8/28/2025 0:00
OMA-TAM,MCI,B,1,5.14,1,8/29/2025 0:00
OMA-TAM,MCI,B,1,135.34,1,8/25/2025 0:00
OMA-TAM,MCI,B,1,74.11,2,8/21/2025 0:00
OMA-TAM,MCI,B,1,152.22,1,8/27/2025 0:00
FSD-TAM,MCI,B,2,14.43,1,8/28/2025 0:00
FSD-TAM,MCI,B,2,156.38,2,8/27/2025 0:00
FSD-TAM,MCI,B,1,176.84,1,8/25/2025 0:00
FSD-TAM,MCI,B,1,27.38,1,8/21/2025 0:00
FSD-TAM,MCI,B,1,14.43,1,8/28/2025 0:00
FSD-TAM,MCI,B,1,156.38,2,8/27/2025 0:00
SEA-TAM,MCI,B,4,527.08,3,8/27/2025 0:00
FSD-TAM,MCI,B,2,176.84,1,8/25/2025 0:00
FSD-TAM,MCI,B,2,27.38,1,8/21/2025 0:00
BOI-TAM,MCI,B,1,86.31,1,8/25/2025 0:00
EVR-TAM,MCI,B,3,20.93,1,8/29/2025 0:00
EVR-TAM,MCI,B,3,14.59,1,8/28/2025 0:00
EVR-TAM,MCI,B,3,148.28,1,8/22/2025 0:00
PDX-TAM,MCI,B,4,17.91,1,8/29/2025 0:00
PDX-TAM,MCI,B,4,33.44,2,8/20/2025 0:00
GEG-TAM,MCI,B,6,16.11,1,8/29/2025 0:00
GEG-TAM,MCI,B,5,424.77,1,8/26/2025 0:00
GEG-TAM,MCI,B,5,16.11,1,8/29/2025 0:00
GEG-TAM,MCI,B,8,424.77,1,8/26/2025 0:00
GEG-TAM,MCI,B,8,16.11,1,8/29/2025 0:00
SLC-TAM,MCI,B,3,173.58,4,8/29/2025 0:00
SLC-TAM,MCI,B,3,164.15,1,8/26/2025 0:00
SLC-TAM,MCI,B,3,20.22,1,8/22/2025 0:00
GEG-TAM,MCI,B,7,424.77,1,8/26/2025 0:00
GEG-TAM,MCI,B,7,16.11,1,8/29/2025 0:00
GEG-TAM,MCI,B,6,424.77,1,8/26/2025 0:00
SLC-TAM,MCI,B,3,16.52,1,8/28/2025 0:00
SLC-TAM,MCI,B,2,427.54,4,8/25/2025 0:00
SLC-TAM,MCI,B,2,16.52,1,8/28/2025 0:00
SLC-TAM,MCI,B,4,427.54,4,8/25/2025 0:00
SLC-TAM,MCI,B,4,16.52,1,8/28/2025 0:00
SLC-TAM,MCI,B,4,173.58,4,8/29/2025 0:00
SLC-TAM,MCI,B,4,164.15,1,8/26/2025 0:00
SLC-TAM,MCI,B,1,427.54,4,8/25/2025 0:00
SLC-TAM,MCI,B,1,16.52,1,8/28/2025 0:00
SLC-TAM,MCI,B,1,173.58,4,8/29/2025 0:00
SLC-TAM,MCI,B,2,20.22,1,8/22/2025 0:00
SLC-TAM,MCI,B,3,427.54,4,8/25/2025 0:00
PCA-TAM,MCI,B,2,106.72,1,8/28/2025 0:00
SLC-TAM,MCI,B,1,164.15,1,8/26/2025 0:00
SLC-TAM,MCI,B,1,20.22,1,8/22/2025 0:00
SLC-TAM,MCI,B,2,164.15,1,8/26/2025 0:00
SLC-TAM,MCI,B,2,173.58,4,8/29/2025 0:00
SLC-TAM,MCI,B,4,20.22,1,8/22/2025 0:00
TWF-TAM,MCI,B,3,111.45,2,8/27/2025 0:00
TWF-TAM,MCI,B,4,398.22,1,8/28/2025 0:00
TWF-TAM,MCI,B,4,111.45,2,8/27/2025 0:00
PCA-TAM,MCI,B,3,106.72,1,8/28/2025 0:00
PCA-TAM,MCI,B,5,106.72,1,8/28/2025 0:00
PCA-TAM,MCI,B,4,106.72,1,8/28/2025 0:00
TUL-CIN,MCI,B,1,801.14,2,8/29/2025 0:00
TUL-CIN,MCI,B,1,149.55,2,8/22/2025 0:00
TUL-CIN,MCI,B,1,40.03,1,8/20/2025 0:00
TUL-CIN,MCI,B,1,193.99,3,8/21/2025 0:00
TUL-CIN,MCI,B,1,148.02,3,8/25/2025 0:00
TUL-CIN,MCI,B,1,85.08,1,8/26/2025 0:00
SLN-CIN,MCI,B,1,63.69,1,8/28/2025 0:00
VGS-CIN,MCI,B,5,25.55,1,8/20/2025 0:00
VGS-CIN,MCI,B,5,60.92,1,8/25/2025 0:00
SHY-CIN,MCI,B,4,8.69,1,8/28/2025 0:00
SHY-CIN,MCI,B,3,8.69,1,8/28/2025 0:00
WCH-CIN,MCI,B,1,56.06,1,8/22/2025 0:00
CHV-CIN,MCI,B,1,28.27,1,8/22/2025 0:00
ONT-CIN,MCI,B,6,152.28,2,8/20/2025 0:00
ONT-CIN,MCI,B,6,468.35,2,8/21/2025 0:00
VGS-CIN,MCI,B,5,48.64,1,8/28/2025 0:00
VGS-CIN,MCI,B,4,25.55,1,8/20/2025 0:00
VGS-CIN,MCI,B,4,60.92,1,8/25/2025 0:00
VGS-CIN,MCI,B,4,48.64,1,8/28/2025 0:00
ONT-CIN,MCI,B,6,69.68,1,8/22/2025 0:00
ONT-CIN,MCI,B,6,79.79,1,8/29/2025 0:00
ONT-CIN,MCI,B,6,149.51,2,8/27/2025 0:00
DOW-CIN,MCI,B,6,17.12,1,8/27/2025 0:00
CPR-CIN,MCI,B,3,125.53,1,8/27/2025 0:00
LOS-CIN,MCI,B,6,17.11,1,8/22/2025 0:00
ONT-CIN,MCI,B,5,12.54,1,8/28/2025 0:00
ONT-CIN,MCI,B,5,69.68,1,8/22/2025 0:00
ONT-CIN,MCI,B,5,79.79,1,8/29/2025 0:00
ONT-CIN,MCI,B,5,149.51,2,8/27/2025 0:00
LOS-CIN,MCI,B,5,17.11,1,8/22/2025 0:00
ONT-CIN,MCI,B,6,12.54,1,8/28/2025 0:00
DEN-CIN,MCI,B,1,72.14,1,8/20/2025 0:00
DEN-CIN,MCI,B,1,25.19,1,8/26/2025 0:00
DOW-CIN,MCI,B,5,17.12,1,8/27/2025 0:00
ONT-CIN,MCI,B,5,152.28,2,8/20/2025 0:00
CPR-CIN,MCI,B,2,125.53,1,8/27/2025 0:00
ONT-CIN,MCI,B,5,468.35,2,8/21/2025 0:00
SLC-CIN,MCI,B,1,91.41,2,8/22/2025 0:00
SLC-CIN,MCI,B,1,33.49,1,8/27/2025 0:00
DEN-CIN,MCI,B,2,44.92,1,8/28/2025 0:00
DEN-CIN,MCI,B,2,72.14,1,8/20/2025 0:00
DEN-CIN,MCI,B,2,25.19,1,8/26/2025 0:00
DEN-CIN,MCI,B,1,44.92,1,8/28/2025 0:00
SLC-CIN,MCI,B,3,33.49,1,8/27/2025 0:00
SLC-CIN,MCI,B,3,91.41,2,8/22/2025 0:00
SLC-CIN,MCI,B,2,91.41,2,8/22/2025 0:00
SLC-CIN,MCI,B,2,33.49,1,8/27/2025 0:00
SLC-CIN,MCI,B,4,91.41,2,8/22/2025 0:00
SLC-CIN,MCI,B,4,33.49,1,8/27/2025 0:00
TUL-CIN,MCI,B,1,108.04,1,8/28/2025 0:00
TUL-CIN,MCI,B,1,139.45,4,8/27/2025 0:00
RNO-CIN,MCI,B,5,611.73,1,8/26/2025 0:00
RNO-CIN,MCI,B,3,611.73,1,8/26/2025 0:00
RNO-CIN,MCI,B,4,611.73,1,8/26/2025 0:00
RNO-CIN,MCI,B,6,611.73,1,8/26/2025 0:00
OMA-ORL,MCI,B,1,56,2,8/26/2025 0:00
OMA-ORL,MCI,B,1,51.12,2,8/21/2025 0:00
OMA-ORL,MCI,B,1,46.24,1,8/27/2025 0:00
OMA-ORL,MCI,B,1,76.38,1,8/20/2025 0:00
OMA-ORL,MCI,B,1,5.88,1,8/25/2025 0:00
OMA-ORL,MCI,B,1,165.64,3,8/28/2025 0:00
FSD-ORL,MCI,B,1,98.08,2,8/22/2025 0:00
FSD-ORL,MCI,B,1,144.95,2,8/26/2025 0:00
FSD-ORL,MCI,B,1,129.28,2,8/22/2025 0:00
FSD-ORL,MCI,B,1,334.1,1,8/25/2025 0:00
FSD-ORL,MCI,B,1,35.3,1,8/27/2025 0:00
OMA-ORL,MCI,B,1,64.57,1,8/22/2025 0:00
FSD-ORL,MCI,B,2,35.3,1,8/27/2025 0:00
FSD-ORL,MCI,B,2,19.42,1,8/28/2025 0:00
FSD-ORL,MCI,B,2,45.72,1,8/21/2025 0:00
FSD-ORL,MCI,B,2,98.08,2,8/22/2025 0:00
FSD-ORL,MCI,B,1,19.42,1,8/28/2025 0:00
FSD-ORL,MCI,B,1,45.72,1,8/21/2025 0:00
SEA-ORL,MCI,B,4,738.36,1,8/29/2025 0:00
SEA-ORL,MCI,B,4,56.55,1,8/20/2025 0:00
BOI-ORL,MCI,B,1,276.3,2,8/21/2025 0:00
FSD-ORL,MCI,B,2,144.95,2,8/26/2025 0:00
FSD-ORL,MCI,B,2,129.28,2,8/22/2025 0:00
FSD-ORL,MCI,B,2,334.1,1,8/25/2025 0:00
ATY-ORL,MCI,B,2,137.1,1,8/22/2025 0:00
ATY-ORL,MCI,B,3,137.1,1,8/22/2025 0:00
EVR-ORL,MCI,B,3,218.29,2,8/21/2025 0:00
EVR-ORL,MCI,B,3,26.85,1,8/22/2025 0:00
EVR-ORL,MCI,B,3,8.16,1,8/25/2025 0:00
SEA-ORL,MCI,B,4,141.14,1,8/21/2025 0:00
BIL-ORL,MCI,B,3,27.05,1,8/21/2025 0:00
PDX-ORL,MCI,B,4,85.1,2,8/28/2025 0:00
GEG-ORL,MCI,B,5,4.36,1,8/26/2025 0:00
GEG-ORL,MCI,B,7,4.36,1,8/26/2025 0:00
GEG-ORL,MCI,B,8,4.36,1,8/26/2025 0:00
BIL-ORL,MCI,B,5,27.05,1,8/21/2025 0:00
BIL-ORL,MCI,B,6,27.05,1,8/21/2025 0:00
BIL-ORL,MCI,B,4,27.05,1,8/21/2025 0:00
HLN-ORL,MCI,B,5,28.92,1,8/28/2025 0:00
HLN-ORL,MCI,B,4,181.98,1,8/27/2025 0:00
HLN-ORL,MCI,B,4,28.92,1,8/28/2025 0:00
HLN-ORL,MCI,B,6,28.92,1,8/28/2025 0:00
HLN-ORL,MCI,B,6,181.98,1,8/27/2025 0:00
GEG-ORL,MCI,B,6,4.36,1,8/26/2025 0:00
SLC-ORL,MCI,B,3,26.95,1,8/29/2025 0:00
SLC-ORL,MCI,B,1,26.95,1,8/29/2025 0:00
SLC-ORL,MCI,B,1,110.09,1,8/25/2025 0:00
HLN-ORL,MCI,B,7,28.92,1,8/28/2025 0:00
HLN-ORL,MCI,B,7,181.98,1,8/27/2025 0:00
HLN-ORL,MCI,B,5,181.98,1,8/27/2025 0:00
SLC-ORL,MCI,B,1,13.34,1,8/27/2025 0:00
SLC-ORL,MCI,B,2,13.34,1,8/27/2025 0:00
SLC-ORL,MCI,B,2,26.95,1,8/29/2025 0:00
SLC-ORL,MCI,B,4,13.34,1,8/27/2025 0:00
SLC-ORL,MCI,B,4,110.09,1,8/25/2025 0:00
SLC-ORL,MCI,B,4,26.95,1,8/29/2025 0:00
PCA-ORL,MCI,B,2,53.37,1,8/25/2025 0:00
PCA-ORL,MCI,B,3,53.37,1,8/25/2025 0:00
PCA-ORL,MCI,B,4,53.37,1,8/25/2025 0:00
SLC-ORL,MCI,B,2,110.09,1,8/25/2025 0:00
SLC-ORL,MCI,B,3,110.09,1,8/25/2025 0:00
SLC-ORL,MCI,B,3,13.34,1,8/27/2025 0:00
PCA-ORL,MCI,B,5,53.37,1,8/25/2025 0:00
YKM-MIA,MCI,B,4,17.65,1,8/25/2025 0:00
YKM-MIA,MCI,B,4,30.25,1,8/27/2025 0:00
YKM-MIA,MCI,B,4,184.12,2,8/29/2025 0:00
OMA-MIA,MCI,B,1,204.11,3,8/21/2025 0:00
OMA-MIA,MCI,B,1,106.36,2,8/26/2025 0:00
OMA-MIA,MCI,B,1,56.34,1,8/29/2025 0:00
OMA-MIA,MCI,B,1,462.94,3,8/27/2025 0:00
FSD-MIA,MCI,B,1,20.81,1,8/29/2025 0:00
FSD-MIA,MCI,B,1,114.33,4,8/21/2025 0:00
FSD-MIA,MCI,B,1,58.91,2,8/20/2025 0:00
FSD-MIA,MCI,B,1,43.93,1,8/22/2025 0:00
OMA-MIA,MCI,B,1,11.2,2,8/22/2025 0:00
OMA-MIA,MCI,B,1,102.64,2,8/25/2025 0:00
FSD-MIA,MCI,B,2,42.3,1,8/25/2025 0:00
FSD-MIA,MCI,B,2,116.58,3,8/27/2025 0:00
FSD-MIA,MCI,B,2,20.81,1,8/29/2025 0:00
FSD-MIA,MCI,B,2,114.33,4,8/21/2025 0:00
FSD-MIA,MCI,B,1,42.3,1,8/25/2025 0:00
FSD-MIA,MCI,B,1,116.58,3,8/27/2025 0:00
SEA-MIA,MCI,B,4,112.32,1,8/21/2025 0:00
SEA-MIA,MCI,B,4,346.17,1,8/27/2025 0:00
SEA-MIA,MCI,B,4,0.57,1,8/28/2025 0:00
WNT-MIA,MCI,B,5,55.97,1,8/22/2025 0:00
FSD-MIA,MCI,B,2,58.91,2,8/20/2025 0:00
FSD-MIA,MCI,B,2,43.93,1,8/22/2025 0:00
SEA-MIA,MCI,B,4,285.46,1,8/29/2025 0:00
ATY-MIA,MCI,B,3,70.15,1,8/26/2025 0:00
EVR-MIA,MCI,B,3,41.94,2,8/26/2025 0:00
EVR-MIA,MCI,B,3,32.56,2,8/27/2025 0:00
EVR-MIA,MCI,B,3,26.1,1,8/22/2025 0:00
MFR-MIA,MCI,B,5,92.38,1,8/29/2025 0:00
MFR-MIA,MCI,B,5,16.72,1,8/20/2025 0:00
PDX-MIA,MCI,B,4,106.7,1,8/28/2025 0:00
PDX-MIA,MCI,B,4,74.3,2,8/26/2025 0:00
PDX-MIA,MCI,B,4,10.29,1,8/20/2025 0:00
ATY-MIA,MCI,B,2,70.15,1,8/26/2025 0:00
ATY-MIA,MCI,B,2,10.56,1,8/28/2025 0:00
ATY-MIA,MCI,B,3,10.56,1,8/28/2025 0:00
GEG-MIA,MCI,B,8,10.94,1,8/25/2025 0:00
PDX-MIA,MCI,B,4,31.66,1,8/27/2025 0:00
PDX-MIA,MCI,B,4,30.79,2,8/29/2025 0:00
GEG-MIA,MCI,B,7,39.36,2,8/26/2025 0:00
GEG-MIA,MCI,B,6,39.36,2,8/26/2025 0:00
GEG-MIA,MCI,B,6,10.94,1,8/25/2025 0:00
GEG-MIA,MCI,B,5,39.36,2,8/26/2025 0:00
GEG-MIA,MCI,B,5,10.94,1,8/25/2025 0:00
GEG-MIA,MCI,B,8,39.36,2,8/26/2025 0:00
SLC-MIA,MCI,B,1,75.25,2,8/21/2025 0:00
BZN-MIA,MCI,B,5,31.47,1,8/21/2025 0:00
BZN-MIA,MCI,B,4,31.47,1,8/21/2025 0:00
BZN-MIA,MCI,B,6,31.47,1,8/21/2025 0:00
BZN-MIA,MCI,B,7,31.47,1,8/21/2025 0:00
GEG-MIA,MCI,B,7,10.94,1,8/25/2025 0:00
SLC-MIA,MCI,B,3,75.25,2,8/21/2025 0:00
SLC-MIA,MCI,B,1,85.53,1,8/26/2025 0:00
SLC-MIA,MCI,B,1,117.49,3,8/27/2025 0:00
SLC-MIA,MCI,B,1,126.87,2,8/22/2025 0:00
SLC-MIA,MCI,B,1,11.29,1,8/25/2025 0:00
SLC-MIA,MCI,B,1,20.73,1,8/20/2025 0:00
SLC-MIA,MCI,B,1,70.64,2,8/28/2025 0:00
SLC-MIA,MCI,B,3,85.53,1,8/26/2025 0:00
SLC-MIA,MCI,B,3,117.49,3,8/27/2025 0:00
SLC-MIA,MCI,B,3,48.01,1,8/29/2025 0:00
SLC-MIA,MCI,B,3,70.64,2,8/28/2025 0:00
SLC-MIA,MCI,B,3,20.73,1,8/20/2025 0:00
SLC-MIA,MCI,B,3,11.29,1,8/25/2025 0:00
SLC-MIA,MCI,B,4,11.29,1,8/25/2025 0:00
SLC-MIA,MCI,B,4,126.87,2,8/22/2025 0:00
SLC-MIA,MCI,B,4,20.73,1,8/20/2025 0:00
SLC-MIA,MCI,B,4,75.25,2,8/21/2025 0:00
SLC-MIA,MCI,B,1,48.01,1,8/29/2025 0:00
SLC-MIA,MCI,B,4,117.49,3,8/27/2025 0:00
SLC-MIA,MCI,B,2,48.01,1,8/29/2025 0:00
SLC-MIA,MCI,B,2,70.64,2,8/28/2025 0:00
SLC-MIA,MCI,B,2,126.87,2,8/22/2025 0:00
SLC-MIA,MCI,B,2,11.29,1,8/25/2025 0:00
SLC-MIA,MCI,B,3,126.87,2,8/22/2025 0:00
SLC-MIA,MCI,B,2,117.49,3,8/27/2025 0:00
SLC-MIA,MCI,B,4,48.01,1,8/29/2025 0:00
SLC-MIA,MCI,B,4,70.64,2,8/28/2025 0:00
SLC-MIA,MCI,B,2,20.73,1,8/20/2025 0:00
